,증상,제품명,효능,복용법
0,가래,자모,"이 약은 기침, 가래, 천식에 사용합니다.","성인은 1회 10 g, 11~14세는 1회 7 g, 8~10세는 1회 5 g, 5~7세는 1회 3 g씩, 1일 3회 식후에 복용합니다."
1,가래,코푸시럽에스,"이 약은 기침, 가래에 사용합니다.","성인은 1회 20 mL씩, 11세 이상~15세 미만은 1회 13 mL씩, 8세 이상~11세 미만은 1회 10 mL씩, 5세 이상~8세 미만은 1회 7 mL씩, 3세 이상~5세 미만은 1회 5 mL씩, 2세 이상~3세 미만은 1회 4 mL씩, 1일 3~4회 식후 및 취침 시에 복용합니다."
2,가래,판콜에이내복액,"이 약은 감기의 여러 증상(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화에 사용합니다.","성인 1회 1병(30 mL), 1일 3회 식후 30분에 복용합니다."
3,가래,리나치올시럽(카르보시스테인)(수출명:HyundiolSyrup),"이 약은 급·만성기관지염, 기관지천식, 기관지확장증, 인두염의 객담(가래)배출곤란과 만성부비동염의 배농, 삼출성중이(가운데귀)염의 배액에 사용합니다.","6세 이상~12세 이하는 1회 250 mg을 1일 3회, 2세 이상~5세 이하는 250~500 mg을 4회 분할 복용합니다."
4,가래,리나치올캡슐375밀리그램(카르보시스테인)(수출명:HyundiolCapsule375Mg),"이 약은 급·만성기관지염, 기관지천식, 기관지확장증, 인두염의 객담(가래)배출곤란 및 만성부비동염의 배농에 사용합니다.","성인은 초기에 1회 2캡슐(750 mg)씩, 1일 3회 복용하고 증상이 나아지면 1회 1캡슐(375 mg)씩, 1일 4회 복용합니다."
5,가래,뮤코론캡슐375밀리그램(카르보시스테인),"이 약은 급·만성기관지염, 기관지천식, 기관지확장증, 인두염의 객담(가래)배출곤란 및 만성부비동염의 배농에 사용합니다.","성인은 초기에 1회 2캡슐(750 mg)씩, 1일 3회 복용하고 증상이 나아지면 1회 1캡슐(375 mg)씩, 1일 4회 복용합니다."
6,가래,리나치올시럽5%(카르보시스테인)(수출명:HyundiolSyrup5%),"이 약은 급·만성기관지염, 기관지천식, 기관지확장증, 인두염의 객담(가래)배출곤란과 만성부비동염의 배농, 삼출성중이(가운데귀)염의 배액에 사용합니다.","성인은 초기에 1회 750 mg씩, 1일 3회 경구투여하고 증상이 나아지면 1회 500 mg씩, 1일 3회, 13세 이상~18세 이하는 1회 250~500 mg씩, 1일 3~4회, 6세 이상~12세 이하는 1회 250 mg씩, 1일 3회, 2세 이상~5세 이하는 1일 250~500 mg을 4회 분할 복용합니다."
7,가래,리나치올캡슐500밀리그람(L-카르보시스테인)(수출명:HyundiolCapsule500Mg),"이 약은 급·만성기관지염, 기관지천식, 기관지확장증, 인두염의 객담(가래)배출곤란 및 만성부비동염의 배농에 사용합니다.",성인은 1회 1캡슐(500 mg)씩 1일 3회 복용합니다.
8,가래,크린조(염화나트륨),"이 약은 관류, 피부, 창상(상처)면, 점막의 세정, 습포(적셔서 대는 것), 함수(양치질), 분무흡입제로서 점막세정, 객담(가래)배출 촉진, 의료용구의 세정에 사용합니다.","관류액으로 사용 시에는 의사의 지시에 따라 적량 사용합니다.피부, 창상(상처)면, 점막의 세정, 습포(적셔서 대는 것), 함수(양치질), 분무흡입에 적량 사용합니다.의료용 기구의 세정에 사용합니다."
9,가래,판콜에스내복액,"이 약은 감기의 여러 증상(콧물, 코막힘, 재채기, 기침, 인후(목구멍)통, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화에 사용합니다.",성인 1회 1병(30 mL) 1일 3회 식후 30분에 복용합니다.
0,가려움,페니라민정(클로르페니라민말레산염),"이 약은 고초열(꽃가루 알레르기비염(코염)), 두드러기, 가려움성 피부질환(습진, 피부염, 피부가려움증, 약물발진), 알레르기 비염(코염), 혈관운동성 코염, 코감기에 의한 재채기, 콧물, 기침, 혈관운동성 부기에 사용합니다.",성인은 1회 1~3정(2~6 mg) 1일 2~4회 복용합니다.1일 12정(24 mg)을 초과하지 마십시오.
1,가려움,에어신신파스,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증, 피부 가려움, 벌레 물린데, 동창(언 상처)의 진통·소염(항염)에 사용합니다.",수회(여러 차례) 환부(질환 부위)에 적당량을 뿌립니다.
2,가려움,쎄레스톤지크림,"이 약은 2차 감염된 알레르기성 또는 염증성 피부질환 (습진, 접촉피부염, 지루피부염, 아토피피부염, 광피부염, 만성단순태선, 간찰진(피부스침증), 박탈피부염, 가려움, 건선(마른비늘증)), 1도 화상에 사용합니다.",1일 1~3회 환부(질환분위)에 적당량을 바릅니다.
3,가려움,유락신연고(크로타미톤),이 약은 피부가려움에 사용합니다.,가볍게 목욕을 한 후 1일 1회 얼굴과 두피를 제외하고 잘 건조된 피부 전체에 바르고 가볍게 마사지합니다.필요시 24시간 후에 반복하여 사용합니다.
4,가려움,제이알히드로코르티손연고,"이 약은 습진ㆍ피부염군, 피부가려움, 벌레물린데에 사용합니다.",1일 1~3회 적당량을 환부에 바르고 증상에 따라 적절히 증감합니다.
5,가려움,삼아리도멕스크림(프레드니솔론발레로아세테이트),"이 약은 습진, 피부염군(진행성 지장각피증, 만성단순태선 포함), 양진(가려움발진)군(구진두드러기 포함), 벌레물린데, 건선, 손바닥 및 발바닥 농포증에 사용합니다.",1일 수회 적당량을 환부에 바르고 증상에 따라 적절히 증감합니다.
6,가려움,"신신물파스에스(수출명:HEATWAVE,ARTHROHONLINIMENT,PANOPAS,Y&JWATER)","이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증, 피부 가려움, 벌레 물린데, 동창(언 상처)의 진통 · 소염(항염)에 사용합니다.",수회(여러 차례) 환부(질환 부위)에 적당량을 바르십시오.
7,가려움,삼아리도멕스로션(프레드니솔론발레로아세테이트),"이 약은 습진, 피부염군(진행성 지장각피증, 만성단순태선 포함), 양진(가려움발진)군(구진두드러기 포함), 벌레물린데, 건선, 손바닥 및 발바닥 농포증에 사용합니다.",1일 수회 적당량을 환부에 바르고 증상에 따라 적절히 증감합니다.
8,가려움,청나점안액,"이 약은 눈의 피로, 결막충혈, 수영 후 눈의 불쾌감 또는 먼지나 땀이 눈에 들어갔을 때, 자외선 및 기타광선에 의한 눈의 염증, 눈꺼풀의 짓무름, 하드콘택트렌즈를 착용시 불쾌감, 눈의 가려움, 눈의 침침함(눈곱이 많을 때 등)에 사용합니다.","1회 2~3방울, 1일 5~6회 점안합니다."
9,가려움,보송크림(프레드니솔론발레로아세테이트),"이 약은 습진, 피부염군(진행성 지장각피증, 만성단순태선 포함), 양진(가려움발진)군(구진두드러기 포함), 벌레물린데, 건선, 손바닥 및 발바닥 농포증에 사용합니다.",1일 수회 적당량을 환부에 바르고 증상에 따라 적절히 증감합니다.
0,각기,아로나민골드정,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기(간유, 비타민 D, E 함유시)의 비타민 B1, B2, B6, E, C의 보급과 신경통, 근육통, 관절통(요통, 어깨결림 등) 증상의 완화, 각기, 눈의 피로에 사용합니다.","성인은 1회 1정씩, 1일 2회 복용합니다."
1,각기,바로코민정,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 B1, B2, B6, C, E의 보급과 말초혈핼장애 및 갱년기시 어깨ㆍ목결림, 수족저림, 수족냉증 증상의 완화, 신경통, 근육통, 관절통(요통, 견통 등) 증상의 완화, 각기, 눈의 피로에 사용합니다.","성인은 1회 1정씩, 1일 1~2회 복용합니다."
2,각기,비오라민정,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 E, B1, B2, B6, C의 보급과 신경통, 근육통, 관절통(요통, 견통(어깨결림) 등) 증상의 완화, 각기, 눈의 피로에 사용합니다.","성인은 1회 1정씩, 1일 2회 복용합니다."
3,각기,신일티아민염산염정10밀리그램,"이 약은 비타민 B1 결핍증의 예방 및 치료에 사용하며 소모성 질환, 갑상선기능항진증, 임산부, 수유부, 심한 육체노동 시 비타민 B1의 수요가 증대하여 식사로부터의 섭취가 불충분한 경우의 보급, 베르니케뇌병증, 각기, 비타민 B1 결핍 또는 대사장애가 관여한다고 추정되는 근육통ㆍ관절통, 신경통, 말초신경염ㆍ말초신경마비, 심근대사장애에 사용합니다.","성인은 1회 1～10 mg씩, 1일 1~3회 복용합니다."
